FID,Shape,FILENAME,Tile number(fish_lab),xmid,ymid,xmin,xmax,ymin,ymax,trunc_id,trunc_area,perc_trunc,trunc_perc,Height(zrange),BEV Tree Size(orig_area),Truncation,Tile Type,perc_over,indi,Vol
33,Polygon,5632.shp,101,620399.1,4847186.219,620395.51,620402.69,4847180.898,4847191.539,34,76.404802,0.496603,0.503397,13.57399597,153.854897,True,Test,0.456297,5632.shp101,2088.425752
34,Polygon,5635.shp,101,620396.4177,4847186.04,620395.51,620397.3253,4847180.898,4847191.183,35,18.669634,0.155405,0.844595,13.21400024,120.135355,True,Test,0,5635.shp101,1587.46861
35,Polygon,4832.shp,136,620147.6,4847237.765,620146.2066,620148.9933,4847236.057,4847239.473,36,9.520761,0.999996,4E-06,3.074007568,9.520799,False,Test,0,4832.shp136,29.26700818
36,Polygon,4840.shp,137,620174.074,4847223.219,620169.0655,620179.0825,4847218.196,4847228.243,37,100.645808,1.000007,0,9.053995361,100.645146,False,Test,0,4840.shp137,911.240685
37,Polygon,4911.shp,138,620255.3797,4847197.572,620251.91,620258.8494,4847195.71,4847199.434,38,25.83955,0.507494,0.492506,6.764002075,50.915936,True,Test,0.04874,4911.shp138,344.3954968
38,Polygon,4915.shp,138,620260.5497,4847197.289,620258.4505,620262.6488,4847195.71,4847198.867,39,13.254873,0.837579,0.162421,5.544003296,15.825221,True,Test,0.095015,4915.shp138,87.73507738
39,Polygon,4935.shp,138,620226.1292,4847246.786,620222.2095,620230.0488,4847243.927,4847249.644,40,44.814142,1.000002,0,8.834007568,44.814049,False,Test,0,4935.shp138,395.887648
40,Polygon,4943.shp,138,620241.5063,4847238.122,620238.5042,620244.5084,4847234.707,4847241.537,41,41.008086,1.000009,0,6.17399292,41.007698,False,Test,0.175953,4943.shp138,253.1812371
41,Polygon,4947.shp,138,620246.6878,4847239.532,620243.182,620250.1936,4847236.097,4847242.967,42,48.169692,1.000013,0,7.064000854,48.169083,False,Test,0.149793,4947.shp138,340.2664434
42,Polygon,41.shp,139,620322.7059,4847213.812,620316.0518,620329.36,4847208.143,4847219.481,43,150.883048,1.000007,0,47.64399475,150.882004,False,Test,0.045312,41.shp139,7188.621407
43,Polygon,48.shp,139,620331.5074,4847220.791,620327.5047,620335.51,4847215.796,4847225.785,44,79.966543,0.848012,0.151988,10.34400635,94.298885,True,Test,0.085496,48.shp139,975.428265
44,Polygon,51.shp,139,620306.0213,4847215.712,620303.5071,620308.5354,4847213.497,4847217.928,45,22.279894,0.99998,2E-05,8.22399292,22.280331,False,Test,0,51.shp139,183.2332844
45,Polygon,54.shp,139,620302.5516,4847222.51,620299.1063,620305.9969,4847219.1,4847225.92,46,46.997337,1.000007,0,4.573997803,46.997012,False,Test,0,54.shp139,214.9642296
46,Polygon,57.shp,139,620311.099,4847228.768,620308.3507,620313.8473,4847226.396,4847231.14,47,26.073672,1.000014,0,5.144001465,26.073302,False,Test,0.019875,57.shp139,134.1211037
47,Polygon,59.shp,139,620316.3,4847224.788,620313.3507,620319.2493,4847222.136,4847227.44,48,31.284995,1.000015,0,4.804004517,31.284529,False,Test,0.052038,59.shp139,150.2910186
48,Polygon,62.shp,139,620320.9296,4847230.381,620316.7103,620325.1488,4847227.002,4847233.76,49,57.023164,0.999996,4E-06,7.053997192,57.023374,False,Test,0.125482,62.shp139,402.2427201
49,Polygon,65.shp,139,620324.3761,4847235.538,620321.0118,620327.7403,4847232.497,4847238.579,50,40.9187,1.000006,0,6.524005737,40.918456,False,Test,0.127673,65.shp139,266.9522417
50,Polygon,68.shp,139,620315.1995,4847233.639,620313.3077,620317.0913,4847231.604,4847235.673,51,15.395468,0.999985,1.5E-05,5.363999634,15.395692,False,Test,0.053351,68.shp139,82.58248625
51,Polygon,71.shp,139,620295.35,4847230.51,620293.2069,620297.4931,4847228.456,4847232.564,52,17.609424,1.000016,0,7.353995361,17.609145,False,Test,0.385959,71.shp139,129.4975706
52,Polygon,75.shp,139,620299.2009,4847234.768,620294.2077,620304.194,4847230.495,4847239.04,53,85.329938,1.000013,0,9.454007568,85.328865,False,Test,0.07965,75.shp139,806.6997355
53,Polygon,82.shp,139,620286.7373,4847246.984,620285.1806,620288.294,4847245.514,4847248.454,54,9.154019,0.999982,1.8E-05,7.153999023,9.154179,False,Test,0,82.shp139,65.48898762
54,Polygon,86.shp,139,620293.1571,4847249.344,620291.3359,620294.9782,4847247.804,4847250.883,55,11.216099,0.999966,3.4E-05,5.693996582,11.216478,False,Test,0,86.shp139,63.86658739
55,Polygon,91.shp,139,620304.9215,4847253.726,620302.8687,620306.9743,4847251.743,4847255.71,56,16.288147,0.884829,0.115171,6.627005615,18.408246,True,Test,0,91.shp139,121.9915496
56,Polygon,94.shp,139,620311.3,4847254.875,620309.3043,620313.2957,4847254.04,4847255.71,57,6.664441,0.510211,0.489789,10.54400513,13.062138,True,Test,0,94.shp139,137.72725
57,Polygon,5670.shp,140,620390.1577,4847255.603,620384.8054,620395.51,4847255.495,4847255.71,58,2.301489,0.013733,0.986267,16.52400757,167.585014,True,Test,0,5670.shp140,2769.17604
58,Polygon,1.shp,140,620372.9013,4847197.197,620369.8099,620375.9927,4847195.71,4847198.684,59,18.387029,0.522685,0.477315,4.553994751,35.17802,True,Test,0,1.shp140,160.2005184
59,Polygon,5663.shp,140,620373.6204,4847254.86,620369.4913,620377.7496,4847254.011,4847255.71,60,14.03407,0.221079,0.778921,18.50399414,63.47992,True,Test,0,5663.shp140,1174.632068
60,Polygon,48.shp,140,620336.2274,4847220.791,620335.51,620336.9447,4847215.796,4847225.785,61,14.331505,0.15198,0.84802,10.34400635,94.298885,True,Test,0,48.shp140,975.428265
61,Polygon,5639.shp,140,620388.2096,4847198.839,620383.551,620392.8682,4847195.71,4847201.968,62,58.310764,0.658999,0.341001,9.635999146,88.483805,True,Test,0,5639.shp140,852.6298694
62,Polygon,5643.shp,140,620382.3022,4847215.901,620378.2108,620386.3936,4847211.619,4847220.184,63,70.083227,1.000014,0,9.454002075,70.082228,False,Test,0,5643.shp140,662.5575289
63,Polygon,5652.shp,140,620373.4777,4847252.376,620369.2058,620377.7497,4847249.042,4847255.71,64,56.969204,0.526904,0.473096,18.50399414,108.120659,True,Test,0.454688,5652.shp140,2000.664041
64,Polygon,5655.shp,140,620377.9434,4847252.802,620374.8665,620381.0202,4847249.894,4847255.71,65,35.79115,0.791836,0.208164,12.79400513,45.200189,True,Test,0.468513,5655.shp140,578.2914498
65,Polygon,5707.shp,140,620354.3906,4847222.092,620346.4036,620362.3775,4847213.902,4847230.281,66,261.636508,0.999999,1E-06,17.21399719,261.636748,False,Test,0,5707.shp140,4503.814245
66,Polygon,5670.shp,141,620398.0295,4847255.603,620395.51,620400.5489,4847255.495,4847255.71,67,1.083364,0.006465,0.993535,16.52400757,167.585014,True,Test,0,5670.shp141,2769.17604
67,Polygon,5445.shp,141,620454.46,4847205.572,620453.4099,620455.51,4847202.161,4847208.983,68,14.326042,0.305054,0.694946,9.185993042,46.962347,True,Test,0.445951,5445.shp141,431.3957928
68,Polygon,5449.shp,141,620452.3304,4847209.54,620449.1508,620455.51,4847205.941,4847213.139,69,45.776065,0.878913,0.121087,11.30399292,52.082576,True,Test,0.310192,5449.shp141,588.7410704
69,Polygon,5457.shp,141,620453.7082,4847216.951,620451.9063,620455.51,4847210.972,4847222.929,70,43.090882,0.362952,0.637048,14.34799866,118.723373,True,Test,0.18126,5457.shp141,1703.442796
70,Polygon,5467.shp,141,620442.2431,4847238.719,620437.5513,620446.9349,4847234.7,4847242.739,71,75.441329,0.999985,1.5E-05,9.021003418,75.442471,False,Test,0.296329,5467.shp141,680.5667888
71,Polygon,5471.shp,141,620442.5211,4847245.059,620437.0502,620447.992,4847240.357,4847249.762,72,102.906535,0.999992,8E-06,12.31400452,102.90735,False,Test,0.453166,5471.shp141,1267.201573
72,Polygon,5475.shp,141,620439.1,4847249.203,620435.5507,620442.6493,4847245.426,4847252.98,73,53.624954,1.000007,0,9.505007324,53.624583,False,Test,0.452742,5475.shp141,509.7020542
73,Polygon,5553.shp,141,620427.9064,4847238.685,620423.9638,620431.8489,4847235.5,4847241.87,74,50.233607,0.999993,7E-06,10.34399353,50.233942,False,Test,0.138541,5553.shp141,519.619571
74,Polygon,5557.shp,141,620427.3218,4847230.776,620421.7512,620432.8923,4847225.171,4847236.382,75,124.911785,0.999996,4E-06,13.39900269,124.912237,False,Test,0.69143,5557.shp141,1673.699399
75,Polygon,5561.shp,141,620428.3718,4847228.103,620423.8512,620432.8923,4847224.141,4847232.065,76,71.645293,0.999996,4E-06,13.30499329,71.645573,False,Test,0.88094,5561.shp141,953.2438677
76,Polygon,5569.shp,141,620411.0073,4847241.872,620407.5243,620414.4903,4847237.506,4847246.238,77,60.823629,1.000009,0,11.10800415,60.823069,False,Test,0,5569.shp141,675.6229029
77,Polygon,5576.shp,141,620431.7282,4847220.517,620427.2077,620436.2487,4847216.8,4847224.234,78,67.216219,0.999983,1.7E-05,12.46600281,67.217389,False,Test,0.229992,5576.shp141,837.93216
78,Polygon,5580.shp,141,620429.4203,4847215.01,620426.7062,620432.1343,4847212.081,4847217.939,79,31.79781,1.000019,0,11.01400452,31.797217,False,Test,0.328545,5580.shp141,350.2146917
79,Polygon,5584.shp,141,620434.8719,4847215.153,620431.11,620438.6337,4847211.466,4847218.839,80,55.47525,0.999987,1.3E-05,10.26399902,55.475954,False,Test,0.276033,5584.shp141,569.4051377
80,Polygon,5588.shp,141,620439.5098,4847201.871,620435.4385,620443.5811,4847196.722,4847207.019,81,83.846795,0.999987,1.3E-05,11.48399414,83.847846,False,Test,0.26877,5588.shp141,962.9081722
81,Polygon,5592.shp,141,620431.9499,4847202.675,620426.2345,620437.6652,4847196.899,4847208.451,82,132.052019,1.000009,0,11.8180011,132.05088,False,Test,0.355361,5592.shp141,1560.577445
82,Polygon,5594.shp,141,620416.7949,4847225.044,620409.7067,620423.8831,4847216.806,4847233.282,83,233.571784,1,0,13.89100098,233.571719,False,Test,0.581488,5594.shp141,3244.544977
83,Polygon,5597.shp,141,620417.8013,4847221.468,620411.5108,620424.0918,4847216.297,4847226.639,84,130.120251,1.000007,0,13.89100098,130.119383,False,Test,0.938964,5597.shp141,1807.488476
84,Polygon,5601.shp,141,620426.8504,4847198.914,620422.868,620430.8328,4847195.71,4847202.118,85,51.040828,0.634186,0.365814,12.74399658,80.482444,True,Test,0.895317,5601.shp141,1025.667991
85,Polygon,5604.shp,141,620420.1606,4847200.797,620413.9832,620426.3379,4847195.71,4847205.883,86,125.686834,0.789581,0.210419,13.4630072,159.181676,True,Test,0.45647,5604.shp141,2143.06405
86,Polygon,5607.shp,141,620417.2792,4847197.335,620411.9096,620422.6487,4847195.71,4847198.961,87,34.91174,0.329558,0.670442,12.69400024,105.935134,True,Test,0.884102,5607.shp141,1344.740617
87,Polygon,5613.shp,141,620410.3697,4847202.016,620405.8061,620414.9332,4847197.661,4847206.371,88,79.494303,0.999995,5E-06,8.733997192,79.494668,False,Test,0.328962,5613.shp141,694.3062071
88,Polygon,5617.shp,141,620407.2986,4847197.847,620403.4483,620411.1488,4847195.71,4847199.983,89,32.907317,0.799795,0.200205,6.86399353,41.144707,True,Test,0.738572,5617.shp141,282.4170026
89,Polygon,5621.shp,141,620402.104,4847199.581,620397.468,620406.74,4847195.71,4847203.451,90,71.777334,0.894449,0.105551,8.403994751,80.247537,True,Test,0.241099,5621.shp141,674.3998797
90,Polygon,5349.shp,142,620508.6139,4847248.417,620503.403,620513.8247,4847243.096,4847253.739,91,110.917111,1.000007,0,11.05399658,110.916389,False,Test,0,5349.shp142,1226.069385
91,Polygon,5352.shp,142,620513.6576,4847234.897,620511.8052,620515.51,4847229.854,4847239.939,92,37.362908,0.318031,0.681969,11.9240033,117.482111,True,Test,0,5352.shp142,1400.857079
92,Polygon,5381.shp,142,620494.8827,4847232.091,620490.773,620498.9923,4847228.997,4847235.184,93,50.854453,0.999996,4E-06,6.027998657,50.854636,False,Test,0,5381.shp142,306.5516775
93,Polygon,5389.shp,142,620492.4142,4847242.89,620489.9347,620494.8937,4847240.804,4847244.975,94,20.680518,1.000008,0,4.944003296,20.68036,False,Test,0,5389.shp142,102.243768
94,Polygon,5397.shp,142,620490.0147,4847250.271,620487.6463,620492.383,4847248.101,4847252.442,95,20.561067,1.000003,0,5.413994751,20.560999,False,Test,0,5397.shp142,111.3171407
95,Polygon,5403.shp,142,620480.6829,4847255.126,620476.225,620485.1407,4847254.541,4847255.71,96,10.421562,0.146141,0.853859,9.993995361,71.311842,True,Test,0.128502,5403.shp142,712.6902181
96,Polygon,5419.shp,142,620479.55,4847238.586,620476.1028,620482.9972,4847235.569,4847241.604,97,41.602188,1.000011,0,12.91400757,41.601731,False,Test,0.149454,5419.shp142,537.245069
97,Polygon,5422.shp,142,620477.6769,4847243.562,620473.9047,620481.449,4847240.441,4847246.684,98,47.1051,1.000007,0,10.62400024,47.104779,False,Test,0.131995,5422.shp142,500.4411836
98,Polygon,5425.shp,142,620475.2616,4847251.129,620471.7258,620478.7974,4847247.197,4847255.062,99,55.61672,0.999988,1.2E-05,12.24399475,55.617409,False,Test,0.177144,5425.shp142,680.9792639
99,Polygon,5428.shp,142,620469.8616,4847250.476,620466.7035,620473.0197,4847247.175,4847253.776,100,41.691973,0.999979,2.1E-05,12.84400452,41.692856,False,Test,0.204187,5428.shp142,535.5032308
100,Polygon,5431.shp,142,620476.95,4847214.616,620473.3508,620480.5492,4847210.897,4847218.336,101,53.542419,0.999979,2.1E-05,10.67400635,53.543553,False,Test,0.436966,5431.shp142,571.5242246
101,Polygon,5437.shp,142,620480.0097,4847218.713,620475.2251,620484.7943,4847213.941,4847223.484,102,91.320789,0.999983,1.7E-05,12.68400024,91.322344,False,Test,0.256198,5437.shp142,1158.332634
102,Polygon,5441.shp,142,620460.7853,4847207.87,620455.7509,620465.8196,4847202.301,4847213.439,103,112.145181,1.00001,0,9.36199646,112.144044,False,Test,0.415822,5441.shp142,1049.892143
103,Polygon,5445.shp,142,620457.9022,4847205.572,620455.51,620460.2943,4847202.161,4847208.983,104,32.636581,0.694952,0.305048,9.185993042,46.962347,True,Test,0.95271,5445.shp142,431.3957928
104,Polygon,5449.shp,142,620455.9481,4847209.54,620455.51,620456.3861,4847205.941,4847213.139,105,6.306518,0.121087,0.878913,11.30399292,52.082576,True,Test,0.924027,5449.shp142,588.7410704
105,Polygon,5457.shp,142,620458.6726,4847216.951,620455.51,620461.8352,4847210.972,4847222.929,106,75.632946,0.637052,0.362948,14.34799866,118.723373,True,Test,0.205345,5457.shp142,1703.442796
106,Polygon,5271.shp,143,620562.1708,4847247.567,620556.9501,620567.3915,4847243.595,4847251.54,107,82.949614,0.999987,1.3E-05,10.84500366,82.950705,False,Test,0.653865,5271.shp143,899.6006995
107,Polygon,5276.shp,143,620565.7278,4847239.1,620561.2065,620570.249,4847234.721,4847243.479,108,79.200545,1.000016,0,10.05999634,79.199285,False,Test,0.050844,5276.shp143,796.7445171
108,Polygon,5284.shp,143,620570.142,4847243.001,620568.4504,620571.8335,4847241.24,4847244.762,109,11.91494,0.999979,2.1E-05,4.254002075,11.915193,False,Test,0.337969,5284.shp143,50.68725575
109,Polygon,5288.shp,143,620566.4582,4847251.057,620564.133,620568.7833,4847247.941,4847254.173,110,28.97974,0.999998,2E-06,7.205006104,28.979804,False,Test,0.560605,5288.shp143,208.7996647
110,Polygon,5296.shp,143,620560.1501,4847250.889,620554.4505,620565.8496,4847246.069,4847255.71,111,109.904423,0.578529,0.421471,10.93399353,189.972086,True,Test,0.50415,5296.shp143,2077.153559
111,Polygon,5352.shp,143,620519.4822,4847234.897,620515.51,620523.4544,4847229.854,4847239.939,112,80.119274,0.68197,0.31803,11.9240033,117.482111,True,Test,0.271372,5352.shp143,1400.857079
112,Polygon,5355.shp,143,620525.8495,4847233.093,620520.4054,620531.2936,4847229.2,4847236.985,113,84.760282,0.999992,8E-06,7.633997192,84.760941,False,Test,0.256513,5355.shp143,647.0647856
113,Polygon,5361.shp,143,620544.6473,4847252.003,620534.5475,620554.7471,4847248.296,4847255.71,114,149.763874,0.459282,0.540718,14.65400147,326.082962,True,Test,0.014683,5361.shp143,4778.420203
114,Polygon,5126.shp,144,620599.2365,4847251.853,620594.8823,620603.5907,4847247.996,4847255.71,115,67.173114,0.930578,0.069422,10.35400147,72.184279,True,Test,0,5126.shp144,747.3961305
115,Polygon,5233.shp,144,620628.4187,4847252.871,620625.5437,620631.2936,4847250.032,4847255.71,116,32.648507,0.99564,0.00436,6.803996582,32.791487,False,Test,0,5233.shp144,223.1131655
116,Polygon,4804.shp,176,620128.2803,4847315.404,620125.3099,620131.2507,4847315.097,4847315.71,117,3.64171,0.116927,0.883073,5.604000854,31.145253,True,Test,0,4804.shp176,174.5380244
117,Polygon,4807.shp,176,620128.1581,4847308.79,620125.4072,620130.9089,4847306.496,4847311.084,118,25.241249,0.99997,3E-05,5.414007568,25.242011,False,Test,0,4807.shp176,136.6604386
118,Polygon,4810.shp,176,620129.6511,4847300.06,620126.9075,620132.3946,4847297.499,4847302.621,119,28.105475,0.999994,6E-06,5.024007568,28.105656,False,Test,0,4810.shp176,141.2030284
119,Polygon,4813.shp,176,620131.9668,4847291.333,620128.6509,620135.2827,4847288.634,4847294.032,120,35.793151,1.000012,0,5.413994751,35.792709,False,Test,0,4813.shp176,193.7815387
120,Polygon,4819.shp,176,620133.0027,4847282.42,620129.6156,620136.3898,4847279.729,4847285.111,121,36.456712,0.999985,1.5E-05,6.034006348,36.457267,False,Test,0,4819.shp176,219.9833805
121,Polygon,4951.shp,178,620259.8138,4847267.089,620255.9073,620263.7202,4847263.311,4847270.868,122,59.04521,1.000002,0,8.834000244,59.045079,False,Test,0,4951.shp178,521.6042423
122,Polygon,4955.shp,178,620256.15,4847278.14,620253.0045,620259.2955,4847275.294,4847280.986,123,35.805856,1.000012,0,8.733997192,35.805444,False,Test,0,4955.shp178,312.7246474
123,Polygon,4959.shp,178,620252.0144,4847290.259,620249.1044,620254.9244,4847287.607,4847292.911,124,30.868116,1.000013,0,6.314005127,30.867718,False,Test,0,4959.shp178,194.8989297
124,Polygon,4963.shp,178,620247.6179,4847302.87,620242.8082,620252.4276,4847298.041,4847307.698,125,92.89647,0.999988,1.2E-05,9.274006348,92.897563,False,Test,0,4963.shp178,861.532589
125,Polygon,4967.shp,178,620245,4847313.652,620241.7044,620248.2956,4847311.595,4847315.71,126,27.126084,0.615582,0.384418,8.804006958,44.065777,True,Test,0,4967.shp178,387.9554073
126,Polygon,5104.shp,178,620259.5675,4847307.087,620258.3058,620260.8292,4847305.796,4847308.378,127,6.514914,0.999974,2.6E-05,3.283999634,6.515081,False,Test,0,5104.shp178,21.39552362
127,Polygon,5108.shp,178,620257.6509,4847313.825,620256.3076,620258.9941,4847312.501,4847315.15,128,7.117076,0.999995,5E-06,3.734002075,7.117113,False,Test,0,5108.shp178,26.57531471
128,Polygon,102.shp,179,620324.0503,4847259.964,620321.7031,620326.3975,4847257.741,4847262.188,129,20.876466,0.999963,3.7E-05,9.524004517,20.877241,False,Test,0,102.shp179,198.8349376
129,Polygon,105.shp,179,620330.1001,4847261.877,620328.0036,620332.1966,4847260.34,4847263.414,130,12.887605,0.999997,3E-06,7.064007568,12.88764,False,Test,0,105.shp179,91.03838649
130,Polygon,5093.shp,179,620292.6467,4847268.861,620291.0061,620294.2873,4847267.44,4847270.282,131,9.323202,1.000053,0,3.653997192,9.322704,False,Test,0,5093.shp179,34.06513424
131,Polygon,5100.shp,179,620285.7882,4847266.092,620283.9069,620287.6695,4847264.103,4847268.08,132,14.96687,0.99998,2E-05,4.623997803,14.967176,False,Test,0,5100.shp179,69.20818894
132,Polygon,5119.shp,179,620298.1765,4847302.477,620295.46,620300.8932,4847299.801,4847305.154,133,29.084345,1.000068,0,6.353995972,29.082357,False,Test,0.250024,5119.shp179,184.7891792
133,Polygon,5128.shp,179,620298.122,4847297.909,620295.3505,620300.8937,4847294.678,4847301.139,134,35.813627,0.99995,5E-05,7.704000244,35.815401,False,Test,0.79831,5128.shp179,275.921858
134,Polygon,5132.shp,179,620298.1221,4847295.199,620295.3504,620300.8938,4847291.875,4847298.524,135,36.859234,0.99999,1E-05,7.704000244,36.859585,False,Test,0.919198,5132.shp179,283.9662518
135,Polygon,5135.shp,179,620299.5311,4847292.12,620296.4128,620302.6494,4847288.801,4847295.439,136,41.400422,1.00001,0,7.224004517,41.400017,False,Test,0.385811,5135.shp179,299.0739098
136,Polygon,5138.shp,179,620308.364,4847300.794,620305.8506,620310.8774,4847298.448,4847303.14,137,23.581724,0.999991,9E-06,4.094004517,23.581936,False,Test,0,5138.shp179,96.5445525
137,Polygon,5142.shp,179,620308.0645,4847286.026,620303.2511,620312.8778,4847281.176,4847290.876,138,93.376102,0.999989,1.1E-05,13.60800537,93.377125,False,Test,0,5142.shp179,1270.676419
